id,edad,estatura_cm,hermanos,region_origen,comuna,colegio,transporte,minutos_viaje_u,horas_redes_dia,horas_sueno,toma_cafe
E01,19,175,3,Metropolitana,Ñuñoa,Particular subvencionado,Caminando,13,2.9,8.3,si
E02,18,164,4,Metropolitana,La Florida,Particular subvencionado,Caminando,12,5.0,5.7,no
E03,18,171,1,Biobío,Santiago,Particular pagado,Metro,58,0.5,7.2,no
E04,18,158,2,Metropolitana,Las Condes,Particular subvencionado,Metro,47,4.6,7.2,si
E05,20,156,1,Metropolitana,La Florida,Particular subvencionado,Metro,40,2.2,6.4,si
E06,18,160,1,Metropolitana,Providencia,Particular subvencionado,Metro,44,4.3,6.2,no
E07,19,155,1,Metropolitana,Vitacura,Particular subvencionado,Auto,25,4.6,6.5,no
E08,19,162,2,Los Lagos,Santiago,Particular subvencionado,Auto,37,3.7,7.3,si
E09,18,177,3,Maule,Providencia,Particular subvencionado,Caminando,13,4.8,6.1,no
E10,18,168,3,Metropolitana,Ñuñoa,Particular pagado,Caminando,13,3.9,7.0,si
E11,18,163,1,Metropolitana,La Florida,Municipal,Micro,48,4.1,6.7,si
E12,20,179,3,Metropolitana,Lo Barnechea,Particular subvencionado,Auto,6,2.2,7.1,no
E13,19,161,0,Metropolitana,La Reina,Particular pagado,Metro,34,4.2,6.8,si
E14,18,173,3,Valparaíso,Puente Alto,Particular subvencionado,Metro,23,1.8,6.4,no
E15,19,163,1,Los Lagos,Puente Alto,Particular subvencionado,Bicicleta,21,2.8,8.6,si
E16,18,165,4,Metropolitana,Ñuñoa,Particular subvencionado,Bicicleta,32,1.9,6.3,si
E17,20,164,0,Metropolitana,Ñuñoa,Particular subvencionado,Auto,41,4.2,6.9,no
E18,19,171,2,Metropolitana,La Florida,Particular subvencionado,Caminando,15,2.5,7.3,no
E19,18,167,3,Maule,Lo Barnechea,Particular pagado,Micro,47,4.3,5.6,no
E20,20,168,2,Metropolitana,Ñuñoa,Particular pagado,Metro,37,5.1,5.6,si
E21,19,177,3,Valparaíso,La Florida,Particular subvencionado,Auto,35,3.7,6.0,si
E22,20,171,3,Valparaíso,La Florida,Particular pagado,Micro,91,1.8,6.8,si
E23,21,157,2,Metropolitana,Lo Barnechea,Municipal,Micro,60,4.8,6.7,si
E24,18,162,3,Metropolitana,La Florida,Particular subvencionado,Metro,42,4.9,6.1,no
E25,18,173,1,Metropolitana,Lo Barnechea,Particular pagado,Metro,21,3.3,6.9,no
E26,20,171,1,Maule,Lo Barnechea,Particular subvencionado,Auto,25,2.5,5.8,no
E27,21,168,1,Metropolitana,Peñalolén,Particular subvencionado,Caminando,9,2.4,8.4,si
E28,18,163,0,Maule,Las Condes,Municipal,Micro,75,3.8,7.8,si
E29,19,164,0,Biobío,Ñuñoa,Particular subvencionado,Micro,81,5.5,6.8,si
E30,20,160,2,O'Higgins,Providencia,Particular subvencionado,Metro,52,3.7,6.1,no
E31,18,169,3,Metropolitana,Puente Alto,Particular pagado,Bicicleta,20,4.7,5.7,si
E32,21,160,2,Metropolitana,Lo Barnechea,Municipal,Micro,38,3.2,8.1,si
E33,19,163,0,O'Higgins,Las Condes,Particular subvencionado,Metro,47,2.9,6.9,si
E34,18,168,3,Metropolitana,San Miguel,Particular pagado,Caminando,7,1.8,6.2,si
E35,19,180,2,Metropolitana,Macul,Particular pagado,Metro,36,1.8,8.3,si
E36,18,162,3,O'Higgins,Puente Alto,Particular subvencionado,Metro,46,3.9,6.7,si
E37,19,177,1,Biobío,Providencia,Particular subvencionado,Auto,36,6.4,5.1,no
E38,19,174,1,Metropolitana,Santiago,Particular subvencionado,Metro,31,4.1,6.5,no
E39,21,180,1,Metropolitana,Maipú,Particular subvencionado,Metro,42,2.2,8.0,no
E40,19,161,2,Metropolitana,La Florida,Particular pagado,Auto,20,3.1,6.5,no
