encuesta,anio,mes,sexo,edad,edad_tramo,anios_escolaridad,gse,zona,region,problema_1,problema_2,problema_3,sit_econ_pais,sit_econ_pais_futuro,sit_econ_propia,sit_econ_propia_futuro,chile_hoy,aprueba_presidente,posicion_politica,partido,religion,asiste_iglesia,personas_hogar,ponderador
29,1994,12,Mujer,75.0,,8.0,D,Urbano,Valparaíso,Terrorismo,"Alzas de precios, inflación","Delincuencia, asaltos y robos",Mala,,,Peor,En decadencia,Desaprueba,Derecha,Union de Centro Centro Progresista,,,,0.9307
29,1994,12,Mujer,63.0,,7.0,C3,Urbano,Metropolitana,Pobreza,Salud,Educación,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Centro,Democracia Cristiana,,,,0.9307
29,1994,12,Mujer,76.0,,2.0,D,Urbano,Metropolitana,Educación,"Delincuencia, asaltos y robos",Empleo,Mala,,,Peor,Estancado,Desaprueba,Ninguna,Ninguno,,,,0.9307
29,1994,12,Mujer,38.0,,9.0,E,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Sueldos,Vivienda,"Ni buena, ni mala",,,Igual,En decadencia,No aprueba ni desaprueba,Ninguna,Ninguno,,,,0.739
29,1994,12,Mujer,69.0,,4.0,D,Urbano,Metropolitana,Salud,"Alzas de precios, inflación",Sueldos,Muy mala,,,Mejor,En decadencia,Desaprueba,Izquierda,Democracia Cristiana,,,,0.9307
29,1994,12,Mujer,38.0,,7.0,C3,Urbano,Metropolitana,Salud,Empleo,Educación,Mala,,,Mucho mejor,Estancado,No aprueba ni desaprueba,Centro,Union de Centro Centro Progresista,,,,0.739
29,1994,12,Mujer,68.0,,12.0,C3,Urbano,Metropolitana,Corrupción,Empleo,Terrorismo,Mala,,,Peor,En decadencia,Desaprueba,Centro derecha,Renovación Nacional,,,,0.9307
29,1994,12,Mujer,37.0,,12.0,C3,Urbano,Metropolitana,Salud,Educación,Sueldos,"Ni buena, ni mala",,,Igual,Estancado,No sabe,Centro,Ninguno,,,,0.739
29,1994,12,Hombre,31.0,,13.0,C3,Urbano,Metropolitana,Sueldos,"Alzas de precios, inflación",Pobreza,Mala,,,Mucho peor,En decadencia,Desaprueba,Izquierda,Ninguno,,,,1.3591
29,1994,12,Hombre,52.0,,3.0,D,Urbano,Metropolitana,"Alzas de precios, inflación","Delincuencia, asaltos y robos",Pobreza,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Izquierda,Partido Por la Democracia,,,,0.9727
29,1994,12,Hombre,28.0,,13.0,C3,Urbano,Metropolitana,Empleo,Salud,Vivienda,"Ni buena, ni mala",,,Mejor,Progresando,Desaprueba,Centro,Democracia Cristiana,,,,1.3591
29,1994,12,Mujer,31.0,,9.0,E,Urbano,Maule,"Delincuencia, asaltos y robos",Derechos humanos,Empleo,"Ni buena, ni mala",,,Mejor,Estancado,No aprueba ni desaprueba,No sabe,Democracia Cristiana,,,,0.9829
29,1994,12,Mujer,43.0,,15.0,C2,Urbano,Maule,Educación,Salud,Empleo,Mala,,,Peor,No sabe,No responde,Derecha,Renovación Nacional,,,,0.739
29,1994,12,Hombre,59.0,,16.0,C2,Urbano,Valparaíso,"Delincuencia, asaltos y robos",Educación,Salud,"Ni buena, ni mala",,,Igual,Estancado,Desaprueba,Derecha,Unión Demócrata Independiente,,,,0.7422
29,1994,12,Hombre,25.0,,16.0,C2,Urbano,Valparaíso,"Alzas de precios, inflación",Derechos humanos,Protección del medio ambiente,Mala,,,Igual,Estancado,No sabe,Ninguna,Ninguno,,,,1.3591
29,1994,12,Mujer,33.0,,6.0,D,Urbano,Valparaíso,Empleo,Protección del medio ambiente,"Delincuencia, asaltos y robos","Ni buena, ni mala",,,Peor,En decadencia,Aprueba,Izquierda,Partido Por la Democracia,,,,0.9829
29,1994,12,Mujer,40.0,,7.0,D,Urbano,Valparaíso,Salud,Sueldos,Pobreza,Buena,,,Igual,Progresando,Aprueba,Izquierda,Democracia Cristiana,,,,0.739
29,1994,12,Mujer,57.0,,6.0,C3,Urbano,Valparaíso,"Alzas de precios, inflación","Delincuencia, asaltos y robos",Empleo,Mala,,,Mucho peor,En decadencia,Desaprueba,No sabe,Democracia Cristiana,,,,0.9307
29,1994,12,Hombre,46.0,,7.0,C3,Urbano,Valparaíso,Educación,Empleo,Salud,"Ni buena, ni mala",,,Mejor,Estancado,Aprueba,Centro,Ninguno,,,,0.9727
29,1994,12,Mujer,34.0,,12.0,C3,Urbano,Valparaíso,Empleo,Salud,Educación,"Ni buena, ni mala",,,No sabe,Progresando,No aprueba ni desaprueba,No sabe,Partido Por la Democracia,,,,0.9829
29,1994,12,Mujer,27.0,,15.0,C3,Urbano,Valparaíso,Sueldos,Educación,Pobreza,"Ni buena, ni mala",,,Igual,Estancado,Aprueba,Derecha,Renovación Nacional,,,,0.9829
29,1994,12,Mujer,19.0,,11.0,C3,Urbano,Valparaíso,Terrorismo,Salud,Empleo,"Ni buena, ni mala",,,Mucho mejor,Estancado,Aprueba,Derecha,Unión Demócrata Independiente,,,,1.1521
29,1994,12,Hombre,37.0,,16.0,C3,Urbano,Los Lagos,"Alzas de precios, inflación",Empleo,Salud,"Ni buena, ni mala",,,Mejor,Estancado,Aprueba,Derecha,Renovación Nacional,,,,0.9761
29,1994,12,Hombre,51.0,,12.0,C3,Urbano,Los Lagos,Salud,Sueldos,Vivienda,"Ni buena, ni mala",,,Igual,Estancado,Desaprueba,Centro,Democracia Cristiana,,,,0.9727
29,1994,12,Mujer,23.0,,12.0,C3,Urbano,Los Lagos,Derechos humanos,Salud,Pobreza,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Centro izquierda,Democracia Cristiana,,,,1.1521
29,1994,12,Mujer,66.0,,5.0,D,Urbano,Los Lagos,Pobreza,Sueldos,Corrupción,Mala,,,Mejor,Progresando,Aprueba,Izquierda,Democracia Cristiana,,,,0.9307
29,1994,12,Mujer,18.0,,12.0,C3,Urbano,Los Lagos,Educación,Protección del medio ambiente,Pobreza,"Ni buena, ni mala",,,Mucho mejor,Estancado,Aprueba,Centro derecha,Ninguno,,,,1.1521
