anio,problema,porcentaje
1994,"Delincuencia, asaltos y robos",19.0
1994,Pobreza,18.8
1994,Salud,13.44
1994,Empleo,10.9
1994,"Alzas de precios, inflación",9.63
1994,Educación,7.76
1994,Sueldos,6.09
1994,Corrupción,4.88
1994,Vivienda,4.82
1994,Derechos humanos,1.74
1994,Protección del medio ambiente,1.67
1994,Terrorismo,0.87
1994,Protestas y desórdenes callejeros,0.33
1994,No sabe,0.07
1995,"Delincuencia, asaltos y robos",18.33
1995,Pobreza,15.7
1995,Salud,11.24
1995,Empleo,9.45
1995,Educación,8.88
1995,"Alzas de precios, inflación",8.82
1995,Narcotráfico,6.69
1995,Sueldos,6.09
1995,Corrupción,4.92
1995,Vivienda,4.66
1995,Derechos humanos,2.23
1995,Protección del medio ambiente,1.6
1995,"Infraestructura (transporte, movilización, caminos, etc.)",1.03
1995,Terrorismo,0.23
1995,No contesta,0.1
1995,No sabe,0.03
1996,"Delincuencia, asaltos y robos",15.79
1996,Pobreza,15.22
1996,Salud,11.47
1996,Empleo,9.21
1996,"Alzas de precios, inflación",8.18
1996,Educación,7.71
1996,Sueldos,6.38
1996,Narcotráfico,5.32
1996,Sistema judicial,4.95
1996,Vivienda,4.82
1996,Corrupción,4.62
1996,Reformas constitucionales,1.79
1996,Derechos humanos,1.23
1996,"Infraestructura (transporte, movilización, caminos, etc.)",1.2
1996,Protección del medio ambiente,1.13
1996,No contesta,0.53
1996,No sabe,0.47
1997,Pobreza,14.89
1997,"Delincuencia, asaltos y robos",14.16
1997,Empleo,9.64
1997,Salud,9.51
1997,Corrupción,8.24
1997,"Alzas de precios, inflación",7.58
1997,Sueldos,7.05
1997,Educación,6.85
1997,Narcotráfico,5.85
1997,Vivienda,5.32
1997,Sistema judicial,4.52
1997,Reformas constitucionales,1.93
1997,Derechos humanos,1.33
1997,"Infraestructura (transporte, movilización, caminos, etc.)",1.0
1997,No sabe,0.73
1997,Protección del medio ambiente,0.73
1997,No contesta,0.66
1998,"Delincuencia, asaltos y robos",18.75
1998,Salud,13.76
1998,Pobreza,13.46
1998,Empleo,10.9
1998,Educación,7.71
1998,Corrupción,6.62
1998,"Alzas de precios, inflación",5.88
1998,Sueldos,5.88
1998,Narcotráfico,4.72
1998,Sistema judicial,4.39
1998,Vivienda,2.43
1998,Derechos humanos,1.8
1998,Reformas constitucionales,1.23
1998,Protección del medio ambiente,1.16
1998,"Infraestructura (transporte, movilización, caminos, etc.)",0.63
1998,No contesta,0.47
1998,No sabe,0.2
1999,Empleo,20.49
1999,Pobreza,20.06
1999,"Delincuencia, asaltos y robos",17.03
1999,Salud,9.53
1999,Educación,5.7
1999,Sueldos,5.63
1999,Narcotráfico,5.5
1999,Vivienda,3.57
1999,"Alzas de precios, inflación",3.07
1999,Corrupción,2.57
1999,Sistema judicial,1.77
1999,Reformas constitucionales,1.67
1999,Derechos humanos,1.63
1999,Protección del medio ambiente,1.17
1999,"Infraestructura (transporte, movilización, caminos, etc.)",0.5
1999,No contesta,0.1
1999,No sabe,0.03
2000,Empleo,20.83
2000,Pobreza,17.47
2000,"Delincuencia, asaltos y robos",16.07
2000,Salud,9.05
2000,Sueldos,7.62
2000,Narcotráfico,5.99
2000,Educación,5.82
2000,"Alzas de precios, inflación",4.82
2000,Vivienda,3.56
2000,Corrupción,2.36
2000,Sistema judicial,1.83
2000,Derechos humanos,1.4
2000,Protección del medio ambiente,1.4
2000,Reformas constitucionales,1.23
2000,"Infraestructura (transporte, movilización, caminos, etc.)",0.33
2000,No sabe,0.13
2000,No contesta,0.1
2001,Empleo,26.5
2001,Pobreza,16.31
2001,"Delincuencia, asaltos y robos",12.58
2001,Salud,9.79
2001,Sueldos,7.46
2001,Educación,6.26
2001,Narcotráfico,5.13
2001,Vivienda,4.39
2001,"Alzas de precios, inflación",3.6
2001,Corrupción,2.6
2001,Sistema judicial,1.46
2001,Derechos humanos,1.4
2001,Reformas constitucionales,1.26
2001,Protección del medio ambiente,0.87
2001,"Infraestructura (transporte, movilización, caminos, etc.)",0.33
2001,No sabe,0.07
2002,Empleo,23.55
2002,Pobreza,15.81
2002,"Delincuencia, asaltos y robos",14.72
2002,Salud,10.69
2002,Sueldos,6.83
2002,Educación,5.81
2002,Narcotráfico,4.63
2002,Corrupción,4.21
2002,Vivienda,3.7
2002,Sistema judicial,2.93
2002,"Alzas de precios, inflación",2.55
2002,Reformas constitucionales,1.77
2002,Derechos humanos,0.98
2002,Protección del medio ambiente,0.93
2002,"Infraestructura (transporte, movilización, caminos, etc.)",0.53
2002,No contesta,0.24
2002,No sabe,0.11
2003,"Delincuencia, asaltos y robos",20.11
2003,Empleo,15.53
2003,Pobreza,13.63
2003,Salud,10.77
2003,Sueldos,8.05
2003,Educación,7.95
2003,Narcotráfico,5.49
2003,Corrupción,5.22
2003,Vivienda,3.29
2003,"Alzas de precios, inflación",3.12
2003,Sistema judicial,2.96
2003,Reformas constitucionales,1.16
2003,Protección del medio ambiente,1.06
2003,Derechos humanos,1.03
2003,"Infraestructura (transporte, movilización, caminos, etc.)",0.5
2003,No contesta,0.1
2003,No sabe,0.03
2004,"Delincuencia, asaltos y robos",21.55
2004,Empleo,15.86
2004,Pobreza,12.6
2004,Salud,11.04
2004,Sueldos,8.01
2004,Educación,6.78
2004,Corrupción,5.82
2004,Narcotráfico,5.59
2004,Sistema judicial,3.43
2004,Vivienda,3.26
