Timestamp,¿A qué campus perteneces?,¿A qué sección perteneces?,¿Cuál es tu edad? Ingresa sólo el número.,¿Cuál es tu estatura en centímetros? Ingresa sólo el número.,¿Qué estilo alimenticio tienes?,¿A qué distancia de la Universidad (en kilómetros) vives actualmente? Ingresa sólo el número. Puedes usar https://maps.google.com para estimar la distancia.,¿Cuál es el sistema operativo de tu teléfono celular?,¿Cuántas veces te bañas a la semana?,¿Has sido contagiado de COVID-19?,¿Cuál es tu postura frente al deporte obligatorio en la UAI?,¿Con qué religión te identificas?,¿Qué tan de acuerdo estás con los siguiente temas? [Aborto libre],¿Qué tan de acuerdo estás con los siguiente temas? [Eutanasia legal],¿Qué tan de acuerdo estás con los siguiente temas? [Matrimonio igualitario],¿Qué tan de acuerdo estás con los siguiente temas? [Legalización del cannabis],¿Qué tan de acuerdo estás con los siguiente temas? [Educación gratuita],¿Qué tan de acuerdo estás con los siguiente temas? [Nueva Constitución para Chile]
3/18/2023 7:35:53,Santiago,2,18,175,Vegetariano,"6,8km",iOS (Apple),8 o más,Sí,5,Agnóstico,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
3/20/2023 13:08:04,Santiago,5,18,157,Vegetariano,7.7,iOS (Apple),6,No,4,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
3/20/2023 21:46:32,Santiago,5,18,"1,55",Vegetariano,40km,iOS (Apple),7,Sí,5,Ateo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/21/2023 14:19:33,Santiago,13,18,171,Vegetariano,12km,iOS (Apple),8 o más,No,1,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 14:20:59,Santiago,13,18,158,Vegetariano,15,iOS (Apple),4,Sí,4,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/19/2023 20:25:41,Santiago,4,19,154,Vegetariano,12,Android,7,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 14:09:50,Santiago,11,19,"1,53",Vegetariano,12,iOS (Apple),8 o más,Sí,5,Prefiero no responder,De acuerdo,,De acuerdo,,,De acuerdo
3/18/2023 15:09:21,Viña,2,18,177,Vegetariano,2,iOS (Apple),5,Sí,4,Católica,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
8/8/2022 13:34:14,Viña,1,19,162,Vegetariano,12,iOS (Apple),8 o más,Sí,2,Católica,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo
3/19/2023 18:35:14,Viña,3,20,,Vegetariano,"2,7",iOS (Apple),5,Sí,1,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
