Timestamp,¿Cuál es tu edad? Ingresa sólo el número.,¿Cuál es tu estatura en centímetros? Ingresa sólo el número.,¿Cuántos hermanos y hermanas tienes? Ingresa sólo el número (0 si eres hijo/a único/a).,¿En qué comuna vives actualmente?,¿Cuántos minutos demoras habitualmente en llegar a la universidad? Ingresa sólo el número.,¿Cómo llegas principalmente a la universidad?,¿Cuántas horas dormiste anoche? Ingresa sólo el número.,"¿Cuántas horas al día usas redes sociales, aproximadamente? Ingresa sólo el número.",¿Cuál es el sistema operativo de tu teléfono celular?,¿Cuántas tazas de café tomas al día? Ingresa sólo el número (0 si no tomas café).,¿Cuánta experiencia previa tienes programando?,¿Sobre qué dominio te gustaría que tratara tu proyecto del semestre?,¿Qué tan de acuerdo estás con las siguientes afirmaciones? [Un gráfico puede mentir sin mostrar un solo dato falso],¿Qué tan de acuerdo estás con las siguientes afirmaciones? [Me interesa aprender a programar],¿Qué tan de acuerdo estás con las siguientes afirmaciones? [Los datos públicos en Chile son fáciles de encontrar],¿Qué tan de acuerdo estás con las siguientes afirmaciones? [Me siento cómodo/a hablando en público sobre mis resultados]
9/08/2026 13:32:32,19,"1,54",3,La Cisterna,5,Caminando,5.6,5.1,Android,2,Sé usar Excel o Google Sheets,Inteligencia artificial,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo
9/08/2026 15:00:52,19,"1,76",3,Lo Barnechea,31,Metro,7.9,2.6,iOS (Apple),1,Sé usar Excel o Google Sheets,Empleo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
10/08/2026 08:54:45,18,161,4,Colina,49,Metro,5.7,5.0,iOS (Apple),3,"Ninguna, esta es mi primera vez",Cultura,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
9/08/2026 20:08:52,20,181,1,La Cisterna,13,Caminando,7.1,5.2,Android,2,"Ninguna, esta es mi primera vez",Deporte,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo
10/08/2026 18:19:35,19,"1,71",0,Las Condes,36,Micro o bus,5.9,4.7,iOS (Apple),3,He programado un poco alguna vez,Medioambiente,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo
10/08/2026 16:49:52,20,1.58,1,Vitacura,32,Auto,6.7,4.7,iOS (Apple),2,"Ninguna, esta es mi primera vez",Deporte,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
9/08/2026 18:17:57,18,163,3,Puente Alto,32,Auto,8.0,2.3,iOS (Apple),3,Sé usar Excel o Google Sheets,Seguridad,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo
10/08/2026 10:00:20,18,161,3,Puente Alto,7,Caminando,5.3,5.0,iOS (Apple),2,Sé usar Excel o Google Sheets,Empleo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo
10/08/2026 16:26:24,18,171,2,Lo Barnechea,26,Metro,6.7,4.3,iOS (Apple),2,"Ninguna, esta es mi primera vez",Medioambiente,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo
10/08/2026 15:36:39,21,169,1,La Reina,46,Micro o bus,7.8,2.4,iOS (Apple),0,He programado un poco alguna vez,Vivienda,De acuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo
9/08/2026 15:45:43,18,171,1,Santiago,48,Micro o bus,5.7,4.0,iOS (Apple),1,He programado un poco alguna vez,Cultura,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo
10/08/2026 12:29:11,18,"1,63",1,Las Condes,52,Metro,5.1,4.3,Android,3,Sé usar Excel o Google Sheets,Cultura,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo
9/08/2026 13:54:10,19,159,4,San Miguel,43,Auto,8.0,4.0,iOS (Apple),0,"Ninguna, esta es mi primera vez",Medioambiente,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo
9/08/2026 18:03:48,21,"1,57",2,Colina,45,Auto,7.0,4.6,iOS (Apple),0,"Ninguna, esta es mi primera vez",Cultura,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/08/2026 09:15:01,19,"1,66",4,Lo Barnechea,35,Auto,5.7,6.4,iOS (Apple),2,He programado un poco alguna vez,Transporte,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
9/08/2026 18:23:55,18,"1,43",2,Colina,39,Metro,8.8,2.9,iOS (Apple),2,"Ninguna, esta es mi primera vez",Educación,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo
10/08/2026 11:35:03,19,167,2,Las Condes,27,Auto,7.1,4.1,iOS (Apple),0,"Ninguna, esta es mi primera vez",Cultura,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo
9/08/2026 18:45:59,18,156,3,Santiago,10,Caminando,6.2,3.8,iOS (Apple),1,He programado un poco alguna vez,Inteligencia artificial,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,De acuerdo
10/08/2026 13:40:33,20,168,1,Lo Barnechea,23,Auto,5.6,7.5,iOS (Apple),0,Sé usar Excel o Google Sheets,Cultura,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
10/08/2026 13:55:12,21,160,1,Lo Barnechea,67,Micro o bus,4.7,4.7,iOS (Apple),1,"Ninguna, esta es mi primera vez",Transporte,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
9/08/2026 09:19:23,20,161,4,La Florida,29,Auto,7.2,6.0,iOS (Apple),4,"Ninguna, esta es mi primera vez",Medioambiente,Muy de acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo
9/08/2026 19:24:21,19,160,2,Maipú,29,Auto,6.7,3.1,iOS (Apple),1,Tengo bastante experiencia,Vivienda,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
9/08/2026 19:33:01,18,"1,72",1,Maipú,53,Metro,5.7,4.9,iOS (Apple),1,Sé usar Excel o Google Sheets,Seguridad,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
